measDate,내부CO2,내부온도,내부습도
2021-09-13 00:00:00,426.0,20.0,0.0
2021-09-13 01:00:00,463.0,20.0,0.0
2021-09-13 02:00:00,446.0,20.0,0.0
2021-09-13 03:00:00,456.0,20.0,0.0
2021-09-13 04:00:00,468.0,19.0,0.0
2021-09-13 05:00:00,451.0,20.0,0.0
2021-09-13 06:00:00,462.0,18.0,0.0
2021-09-13 07:00:00,429.0,21.0,0.0
2021-09-13 08:00:00,391.0,22.0,0.0
2021-09-13 09:00:00,350.0,23.0,0.0
2021-09-13 10:00:00,365.0,26.0,0.0
2021-09-13 11:00:00,372.0,27.0,0.0
2021-09-13 12:00:00,356.0,27.0,0.0
2021-09-13 13:00:00,328.0,26.0,0.0
2021-09-13 14:00:00,349.0,27.0,0.0
2021-09-13 15:00:00,332.0,26.0,0.0
2021-09-13 16:00:00,352.0,24.0,0.0
2021-09-13 17:00:00,352.0,24.0,0.0
2021-09-13 18:00:00,348.0,21.0,0.0
2021-09-13 19:00:00,382.0,21.0,0.0
2021-09-13 20:00:00,347.0,21.0,0.0
2021-09-13 21:00:00,372.0,20.0,0.0
2021-09-13 22:00:00,378.0,20.0,0.0
2021-09-13 23:00:00,370.0,20.0,0.0
2021-09-14 00:00:00,382.0,20.0,0.0
2021-09-14 01:00:00,377.0,20.0,0.0
2021-09-14 02:00:00,387.0,21.0,0.0
2021-09-14 03:00:00,389.0,21.0,0.0
2021-09-14 04:00:00,354.0,19.0,0.0
2021-09-14 05:00:00,384.0,21.0,0.0
2021-09-14 06:00:00,339.0,20.0,0.0
2021-09-14 07:00:00,370.0,20.0,0.0
2021-09-14 08:00:00,364.0,22.0,0.0
2021-09-14 09:00:00,346.0,21.0,0.0
2021-09-14 10:00:00,330.0,23.0,0.0
2021-09-14 11:00:00,340.0,25.0,0.0
2021-09-14 12:00:00,344.0,24.0,0.0
2021-09-14 13:00:00,333.0,25.0,0.0
2021-09-14 14:00:00,326.0,25.0,0.0
2021-09-14 15:00:00,347.0,24.0,0.0
2021-09-14 16:00:00,354.0,24.0,0.0
2021-09-14 17:00:00,353.0,24.0,0.0
2021-09-14 18:00:00,335.0,23.0,0.0
2021-09-14 19:00:00,364.0,21.0,0.0
2021-09-14 20:00:00,370.0,21.0,0.0
2021-09-14 21:00:00,356.0,20.0,0.0
2021-09-14 22:00:00,379.0,21.0,0.0
2021-09-14 23:00:00,362.0,19.0,0.0
2021-09-15 00:00:00,354.0,20.0,0.0
2021-09-15 01:00:00,372.0,20.0,0.0
2021-09-15 02:00:00,374.0,20.0,0.0
2021-09-15 03:00:00,380.0,19.0,0.0
2021-09-15 04:00:00,368.0,20.0,0.0
2021-09-15 05:00:00,387.0,19.0,0.0
2021-09-15 06:00:00,352.0,19.0,0.0
2021-09-15 07:00:00,350.0,21.0,0.0
2021-09-15 08:00:00,349.0,22.0,0.0
2021-09-15 09:00:00,356.0,25.0,0.0
2021-09-15 10:00:00,335.0,26.0,0.0
2021-09-15 11:00:00,339.0,28.0,0.0
2021-09-15 12:00:00,340.0,29.0,0.0
2021-09-15 13:00:00,335.0,28.0,0.0
2021-09-15 14:00:00,340.0,29.0,0.0
2021-09-15 15:00:00,337.0,28.0,0.0
2021-09-15 16:00:00,327.0,27.0,0.0
2021-09-15 17:00:00,340.0,25.0,0.0
2021-09-15 18:00:00,337.0,24.0,0.0
2021-09-15 19:00:00,332.0,21.0,0.0
2021-09-15 20:00:00,376.0,20.0,0.0
2021-09-15 21:00:00,373.0,20.0,0.0
2021-09-15 22:00:00,370.0,19.0,0.0
2021-09-15 23:00:00,370.0,19.0,0.0
2021-09-16 00:00:00,376.0,18.0,0.0
2021-09-16 01:00:00,383.0,17.0,0.0
