inTp,inHd,measDtStr,otmsuplyqy,acSlrdQy,frmhsId,cunt,ph,outTp,outWs,daysuplyqy,inCo2,ec
26.4,90.85,20170801000000 ,0,0,25,0,0,24.35,0,0,463,0
26.175,91.375,20170801010000 ,0,0,25,0,0,24.175,0,0,472.75,0
26.225,90.825,20170801020000 ,0,0,25,0,0,24.1,0,0,477.75,0
25.9,92.35,20170801030000 ,0,0,25,0,0,23.9,0,0,486.25,0
25.6,91.875,20170801040000 ,0,0,25,0,0,23.65,0,0,490.5,0
25.625,91.95,20170801050000 ,0,0,25,0,0,23.675,0,0,499.5,0
26.25,90,20170801060000 ,0,0,25,0,0,24,0,0,497.5,0
27.325,85.725,20170801070000 ,0,0,25,0,0,24.5,0,0,469.25,0
26.9,85.125,20170801080000 ,0,0,25,0,0,25.575,1.8,0,371.5,0
29.775,72.95,20170801090000 ,0,0,25,0,0,27.35,1.275,0,359.5,0
30.15,73.15,20170801100000 ,0,0,25,0,0,26.45,2.325,0,350.5,0
30.5,70.2,20170801110000 ,0,0,25,0,0,26.35,2.325,0,338.25,0
36.05,55.3,20170801120000 ,0,0,25,0,0,28.175,2.6,0,348,0
38.325,48.825,20170801130000 ,0,0,25,0,0,30.225,2.35,0,357.75,0
40.2,45,20170801140000 ,0,0,25,0,0,31.375,2.125,0,373.75,0
39.775,47.825,20170801150000 ,0,0,25,0,0,32.025,2.175,0,366,0
39.1,49.9,20170801160000 ,0,0,25,0,0,32.35,1.9,0,361.5,0
37.3,54.65,20170801170000 ,0,0,25,0,0,32.4,1.6,0,348.75,0
35.475,59.35,20170801180000 ,0,0,25,0,0,31.725,1.1,0,341.75,0
32.675,69.825,20170801190000 ,0,0,25,0,0,30.575,0,0,342.75,0
30.2,78.45,20170801200000 ,0,0,25,0,0,29.15,0,0,366.75,0
29.225,81.775,20170801210000 ,0,0,25,0,0,28.525,0,0,398.5,0
28,88.4,20170801220000 ,0,0,25,0,0,27.425,0,0,446,0
27.625,89.425,20170801230000 ,0,1767,25,0,0,27.225,0,0,452.5,0
27.775,88.1,20170802000000 ,0,0,25,0,0,26.75,0,0,414.5,0
27.175,90.8,20170802010000 ,0,0,25,0,0,26.325,0,0,471.75,0
26.8,91.4,20170802020000 ,0,0,25,0,0,25.85,0,0,512.5,0
26.775,90.925,20170802030000 ,0,0,25,0,0,25.625,0,0,531,0
26.425,91.425,20170802040000 ,0,0,25,0,0,25.375,0,0,521.75,0
26.075,92.325,20170802050000 ,0,0,25,0,0,25.175,0,0,514.75,0
