inTp,inHd,measDtStr,otmsuplyqy,acSlrdQy,frmhsId,cunt,ph,outTp,outWs,daysuplyqy,inCo2,ec
14.99333333,88.3625,20171226040000,0.0,0.0,39,0.0,0.0,-0.865,0.043333333,0.0,0.0,0.0
14.57916667,87.69333333,20171226050000,0.0,0.0,39,0.0,0.0,-1.538333333,0.0,0.0,0.0,0.0
13.9,86.86583333,20171226060000,0.0,0.0,39,0.0,0.0,-2.39,0.0,0.0,0.0,0.0
13.61666667,86.12416667,20171226070000,0.0,0.0,39,0.0,0.0,-2.93,0.04,0.0,0.0,0.0
13.83416667,88.73416667,20171226080000,0.0,0.0,39,0.0,0.0,-2.483333333,0.126666667,0.0,0.0,0.0
16.78833333,88.12,20171226090000,0.0,0.0,39,0.0,0.0,-0.958333333,0.416666667,0.0,0.0,0.0
0.0,0.0,20171226230000,94.66666667,591.0,39,3.0,5.5,0.0,0.0,0.0,0.0,2.995984448
13.03833333,84.02416667,20171228030000,0.0,0.0,39,0.0,0.0,-6.286666667,0.248333333,0.0,0.0,0.0
13.00583333,84.60916667,20171228040000,0.0,0.0,39,0.0,0.0,-6.001666667,0.385,0.0,0.0,0.0
12.95833333,85.08,20171228050000,0.0,0.0,39,0.0,0.0,-6.37,0.236666667,0.0,0.0,0.0
14.06333333,87.59416667,20180323000000,0.0,0.0,39,0.0,0.0,0.601666667,0.006666667,0.0,0.0,0.0
13.78333333,87.55166667,20180323010000,0.0,0.0,39,0.0,0.0,0.081666667,0.0,0.0,0.0,0.0
13.44416667,87.11,20180323020000,0.0,0.0,39,0.0,0.0,-0.25,0.0,0.0,0.0,0.0
13.10083333,87.00583333,20180323030000,0.0,0.0,39,0.0,0.0,-0.825,0.0,0.0,0.0,0.0
12.85916667,87.41416667,20180323040000,0.0,0.0,39,0.0,0.0,-1.04,0.0,0.0,0.0,0.0
12.79166667,89.47166667,20180323050000,0.0,0.0,39,0.0,0.0,-1.278333333,0.0,0.0,0.0,0.0
