inTp,inHd,measDtStr,otmsuplyqy,acSlrdQy,frmhsId,cunt,ph,outTp,outWs,daysuplyqy,inCo2,ec
14.90555556,85.57222222,20170930030000,0.0,0.0,81,0.0,0.0,10.11666667,0.0,0.0,485.3333333,0.0
15.10833333,84.56833333,20170930040000,0.0,0.0,81,0.0,0.0,9.778333333,0.0,0.0,483.0,0.0
16.35333333,85.05333333,20170930050000,0.0,0.0,81,0.0,0.0,9.655,0.0,0.0,488.2166667,0.0
16.51666667,86.115,20170930060000,0.0,0.0,81,0.0,0.0,9.775,0.013333333,0.0,489.0666667,0.0
17.55166667,89.12833333,20170930070000,0.0,0.0,81,0.0,0.0,12.255,0.031666667,0.0,466.1666667,0.0
19.635,80.28,20170930080000,0.0,0.0,81,0.0,0.0,16.11333333,0.13,0.0,372.3666667,0.0
21.86833333,68.45166667,20170930090000,0.0,0.0,81,0.0,0.0,19.53833333,0.246666667,0.0,359.0833333,0.0
20.45666667,91.54166667,20171002200000,0.0,0.0,81,0.0,0.0,20.785,0.366666667,0.0,392.2166667,0.0
19.96666667,89.21333333,20171002210000,0.0,0.0,81,0.0,0.0,20.41333333,0.241666667,0.0,386.8833333,0.0
19.27,89.06,20171002220000,0.0,0.0,81,0.0,0.0,19.50166667,0.031666667,0.0,408.3833333,0.0
18.53333333,88.86,20171002230000,0.0,1013.0,81,0.0,0.0,18.455,0.008333333,0.0,408.9666667,0.0
18.11166667,89.81666667,20171003000000,0.0,0.0,81,0.0,0.0,17.96166667,0.021666667,0.0,402.2166667,0.0
18.095,92.7,20171003010000,0.0,0.0,81,0.0,0.0,17.25666667,0.005,0.0,417.4,0.0
25.82333333,81.38333333,20171002130000,0.0,0.0,81,0.0,0.0,23.23333333,1.67,0.0,343.1,0.0
24.265,83.89333333,20171002140000,0.0,0.0,81,0.0,0.0,23.065,1.685,0.0,353.9166667,0.0
24.185,83.35666667,20171002150000,0.0,0.0,81,0.0,0.0,23.53166667,1.065,0.0,344.1,0.0
25.16,80.755,20171002160000,0.0,0.0,81,0.0,0.0,24.36,0.755,0.0,347.5333333,0.0
23.50666667,83.53,20171002170000,0.0,0.0,81,0.0,0.0,23.19166667,0.553333333,0.0,357.7666667,0.0
21.46,88.92833333,20171002180000,0.0,0.0,81,0.0,0.0,21.59333333,0.0,0.0,371.0666667,0.0
21.03666667,91.01,20171002190000,0.0,0.0,81,0.0,0.0,20.685,0.006666667,0.0,394.0333333,0.0
18.115,95.51,20171002060000,0.0,0.0,81,0.0,0.0,16.57666667,0.97,0.0,370.65,0.0
18.80666667,96.01166667,20171002070000,0.0,0.0,81,0.0,0.0,16.58833333,1.16,0.0,384.3,0.0
19.12833333,95.12833333,20171002080000,0.0,0.0,81,0.0,0.0,17.07833333,0.723333333,0.0,366.8166667,0.0
20.42,91.87,20171002090000,0.0,0.0,81,0.0,0.0,17.83333333,1.151666667,0.0,348.15,0.0
23.35,85.09,20171002100000,0.0,0.0,81,0.0,0.0,19.80666667,1.62,0.0,346.3166667,0.0
26.34833333,78.92166667,20171002110000,0.0,0.0,81,0.0,0.0,21.75333333,1.111666667,0.0,350.8666667,0.0
26.00833333,79.615,20171002120000,0.0,0.0,81,0.0,0.0,22.29166667,1.811666667,0.0,358.8333333,0.0
18.10166667,94.31833333,20171001230000,0.0,284.0,81,0.0,0.0,16.41333333,0.511666667,0.0,374.9166667,0.0
17.95833333,94.60333333,20171002000000,0.0,0.0,81,0.0,0.0,16.65166667,0.37,0.0,372.4,0.0
17.97333333,94.44166667,20171002010000,0.0,0.0,81,0.0,0.0,16.69,0.13,0.0,369.1166667,0.0
18.17,94.74833333,20171002020000,0.0,0.0,81,0.0,0.0,16.72,0.403333333,0.0,373.95,0.0
18.65192308,95.39230769,20171002030000,0.0,0.0,81,0.0,0.0,16.80961538,0.319230769,0.0,389.7115385,0.0
18.08833333,94.985,20171002040000,0.0,0.0,81,0.0,0.0,16.76333333,0.601666667,0.0,371.75,0.0
17.86166667,95.06166667,20171002050000,0.0,0.0,81,0.0,0.0,16.69833333,1.026666667,0.0,365.7166667,0.0
16.88166667,89.86,20171001160000,0.0,0.0,81,0.0,0.0,14.47666667,0.913333333,0.0,347.9333333,0.0
17.39,92.26666667,20171001170000,0.0,0.0,81,0.0,0.0,15.22666667,1.405,0.0,360.9333333,0.0
17.37333333,93.42333333,20171001180000,0.0,0.0,81,0.0,0.0,14.98666667,1.028333333,0.0,368.8333333,0.0
